id,nick,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 2.0,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,awp,ak47,m4a1,usp_silencer,deagle,glock,p250,sg556,mp9,mac10,m4a1_silencer,cz75a,ump45,ssg08,galilar,famas,aug,hegrenade,tec9,mp5sd,fiveseven,hkp2000,mp7,world,bizon,nova,taser,mag7,p90,smokegrenade,decoy,sawedoff,scar20,usp_silencer_off,xm1014,g3sg1,negev,knife,m4a1_silencer_off,revolver,gallil,Rating 1.0,m249,molotov,flashbang,molotov_projectile,incgrenade,zeus
11893,zywoo,20035,41.4%,14527,1.38,88.8,3.7,899,23561,0.85,0.13,0.62,0.10,0.12,1.33,20035,14527,1.38,0.85,12532,K - D diff.,3697,2310,1.60,1.29,73.2%,21.6%,11029,7204,3616,1316,329,67,7254,7487,1238,3830,228,44,7235,4415,1367,1185,886,640,514,441,429,408,359,355,272,252,228,222,222,120,116,84,82,49,34,11,8,7,6,5,3,1,1,0,0,0,0,0,0,0,,,,,,,,,,
7998,s1mple,33061,41.4%,24735,1.34,86.4,2.3,1466,38687,0.85,0.10,0.64,0.08,0.11,,33061,24735,1.34,0.85,21009,K - D diff.,5588,3490,1.60,1.24,74.9%,20.7%,17678,12192,6186,2104,467,60,13750,12398,847,5718,173,241,11967,9029,1904,1383,1844,567,955,592,190,101,1441,521,376,407,184,276,313,109,104,31,94,219,119,30,2,10,4,40,28,,,2,12,21,31,12,1,0,11,0,0,1.25,,,,,,
16920,sh1ro,15695,28.0%,10896,1.44,78.8,3.9,770,20423,0.77,0.11,0.53,0.08,0.11,1.26,15695,10896,1.44,0.77,10371,K - D diff.,2370,1236,1.92,1.15,77.1%,16.4%,10052,6432,2795,930,187,27,3177,9247,489,2652,145,47,8939,1778,491,782,551,324,672,325,284,156,97,100,46,307,233,125,128,88,98,0,68,57,2,38,0,0,2,2,1,,,0,0,,0,1,,0,0,,,,,0,,,,
8950,kaze,16214,30.3%,12306,1.32,80.5,2.9,792,20664,0.78,0.11,0.60,0.08,0.10,,16214,12306,1.32,0.78,10516,K - D diff.,2470,1459,1.69,1.15,76.2%,17.1%,10148,6303,2974,1015,203,21,4492,8247,549,2623,156,195,7829,2255,580,528,306,442,275,703,114,106,295,590,224,396,218,201,236,40,249,11,23,180,38,15,0,3,0,151,56,,,3,21,1,10,1,,0,4,0,,1.19,1,,,,,2
12591,sterling,15333,31.4%,11504,1.33,79.1,4.0,761,19503,0.79,0.10,0.59,0.08,0.11,1.22,15333,11504,1.33,0.79,10226,K - D diff.,2311,1221,1.89,1.15,77.9%,16.9%,9277,6384,2790,858,175,19,4437,7715,425,2575,180,32,7506,2647,583,964,590,435,317,377,137,114,197,219,147,205,160,278,195,97,30,13,17,3,14,16,0,0,2,1,0,,,0,1,0,5,3,0,0,0,0,,,,,,,1,
17306,degster,12548,34.7%,9657,1.30,79.2,3.0,601,15984,0.79,0.09,0.60,0.07,0.10,1.21,12548,9657,1.30,0.79,8174,K - D diff.,2189,1323,1.65,1.21,73.9%,19.5%,7810,4900,2362,741,154,17,3503,6615,243,2035,164,33,6272,1993,466,736,569,250,356,449,141,87,161,45,13,329,165,97,172,124,48,2,6,2,0,28,0,0,1,0,0,0,,0,5,0,1,9,,0,0,,,,,,,,0,
11271,smooya,15807,27.4%,12486,1.27,79.4,2.4,761,20078,0.79,0.10,0.62,0.08,0.10,1.20,15807,12486,1.27,0.79,10214,K - D diff.,2783,1917,1.45,1.20,76.7%,20.3%,9864,6123,2860,979,233,19,3905,8431,539,2829,122,26,8232,2296,591,839,584,514,511,306,228,168,192,170,79,181,103,169,248,66,88,15,92,27,40,14,3,0,0,0,6,0,0,0,18,1,0,,0,0,0,,,,0,1,,0,,
7938,xantares,33797,53.4%,28256,1.20,88.9,4.2,1579,41548,0.81,0.15,0.68,0.10,0.11,,33797,28256,1.20,0.81,21485,K - D diff.,5663,4431,1.28,1.17,74.7%,19.2%,20063,12526,6229,2163,512,55,26813,317,798,5558,335,37,289,16091,7915,729,1688,1085,382,585,229,278,1107,159,189,27,455,504,156,200,208,9,222,1082,74,26,2,3,0,5,17,,,0,0,0,1,1,,0,,0,,1.17,0,1,,0,,
7592,device,35976,35.0%,28820,1.25,80.3,4.2,1777,46255,0.78,0.13,0.62,0.08,0.08,,35976,28820,1.25,0.78,23490,K - D diff.,6146,4394,1.40,1.17,78.6%,18.8%,22765,14233,6643,2104,462,48,14339,12655,1557,6922,424,120,12187,7906,2632,1692,1222,1056,850,466,233,286,2173,966,627,407,321,535,305,310,610,25,177,283,115,13,35,14,5,36,236,0,,4,61,13,16,0,6,0,1,0,0,1.16,1,,0,0,,1
18227,sensei,7320,31.5%,5540,1.32,75.6,2.4,372,9832,0.74,0.08,0.56,0.07,0.09,1.19,7320,5540,1.32,0.74,4962,K - D diff.,1258,662,1.90,1.19,74.3%,19.1%,4870,3172,1330,364,84,12,1679,4289,156,1146,49,21,4121,1039,215,390,261,144,220,44,81,32,187,19,43,166,135,25,34,17,76,0,22,3,0,12,0,0,0,1,0,,,0,1,0,0,1,,0,0,1,,,,,,,,
